Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice,Spot,VIX,DTE,Moneyness,ExpiryRank
2024-01-01,22600.0,2024-01-25,CE,439050,13280,69.7,21741.900390625,14.579999923706056,24,1.0394675531557953,4.0
2024-01-01,22600.0,2024-01-11,PE,0,0,822.65,21741.900390625,14.579999923706056,10,1.0394675531557953,2.0
2024-01-01,22600.0,2024-01-04,PE,500,43,773.05,21741.900390625,14.579999923706056,3,1.0394675531557953,1.0
2024-01-01,20900.0,2024-01-04,CE,58000,74,863.25,21741.900390625,14.579999923706056,3,0.9612775159715099,1.0
2024-01-01,20900.0,2024-01-25,CE,90450,245,1052.6,21741.900390625,14.579999923706056,24,0.9612775159715099,4.0
2024-01-01,21650.0,2024-01-04,CE,758650,456621,187.55,21741.900390625,14.579999923706056,3,0.9957731206116358,1.0
2024-01-01,21650.0,2024-01-25,CE,58300,3130,457.85,21741.900390625,14.579999923706056,24,0.9957731206116358,4.0
2024-01-01,21450.0,2024-01-04,PE,1805100,525846,19.2,21741.900390625,14.579999923706056,3,0.9865742927076022,1.0
2024-01-01,21450.0,2024-01-11,PE,89900,8543,73.15,21741.900390625,14.579999923706056,10,0.9865742927076022,2.0
2024-01-01,21000.0,2024-01-04,CE,541700,4192,791.3,21741.900390625,14.579999923706056,3,0.9658769299235267,1.0
2024-01-01,21000.0,2024-01-18,CE,2650,6,827.45,21741.900390625,14.579999923706056,17,0.9658769299235267,3.0
2024-01-01,22500.0,2024-01-04,PE,26650,1299,731.1,21741.900390625,14.579999923706056,3,1.0348681392037786,1.0
2024-01-01,22500.0,2024-01-25,CE,1824650,43765,85.4,21741.900390625,14.579999923706056,24,1.0348681392037786,4.0
2024-01-01,21250.0,2024-01-11,CE,5750,75,599.05,21741.900390625,14.579999923706056,10,0.9773754648035686,2.0
2024-01-01,20900.0,2024-01-11,PE,434300,22766,14.85,21741.900390625,14.579999923706056,10,0.9612775159715099,2.0
2024-01-01,21350.0,2024-01-11,CE,34350,1027,527.85,21741.900390625,14.579999923706056,10,0.9819748787555854,2.0
2024-01-01,21350.0,2024-01-11,PE,104150,7167,50.65,21741.900390625,14.579999923706056,10,0.9819748787555854,2.0
2024-01-01,22050.0,2024-01-25,CE,68800,2091,235.15,21741.900390625,14.579999923706056,24,1.014170776419703,4.0
2024-01-01,21950.0,2024-01-25,CE,47500,2454,281.6,21741.900390625,14.579999923706056,24,1.0095713624676863,4.0
2024-01-01,22350.0,2024-01-25,PE,40000,261,548.95,21741.900390625,14.579999923706056,24,1.0279690182757533,4.0
2024-01-01,22100.0,2024-01-04,CE,4369550,1192140,18.4,21741.900390625,14.579999923706056,3,1.0164704833957114,1.0
2024-01-01,22750.0,2024-01-18,CE,5050,304,22.95,21741.900390625,14.579999923706056,17,1.0463666740838204,3.0
2024-01-01,21000.0,2024-01-11,PE,1057350,35540,20.75,21741.900390625,14.579999923706056,10,0.9658769299235267,2.0
2024-01-01,22050.0,2024-01-25,PE,21500,1054,386.15,21741.900390625,14.579999923706056,24,1.014170776419703,4.0
2024-01-01,22050.0,2024-01-18,CE,7700,209,195.75,21741.900390625,14.579999923706056,17,1.014170776419703,3.0
2024-01-01,22050.0,2024-01-04,CE,1688600,751144,27.15,21741.900390625,14.579999923706056,3,1.014170776419703,1.0
2024-01-01,21650.0,2024-01-11,CE,61150,9332,290.75,21741.900390625,14.579999923706056,10,0.9957731206116358,2.0
2024-01-01,21600.0,2024-01-25,CE,563900,11059,490.5,21741.900390625,14.579999923706056,24,0.9934734136356275,4.0
2024-01-01,22050.0,2024-01-11,PE,13650,1035,298.2,21741.900390625,14.579999923706056,10,1.014170776419703,2.0
2024-01-01,21400.0,2024-01-04,PE,3563900,739638,15.3,21741.900390625,14.579999923706056,3,0.9842745857315939,1.0
2024-01-01,21400.0,2024-01-18,PE,27900,1056,108.5,21741.900390625,14.579999923706056,17,0.9842745857315939,3.0
2024-01-01,21500.0,2024-01-25,PE,2479000,58055,166.6,21741.900390625,14.579999923706056,24,0.9888739996836107,4.0
2024-01-01,22000.0,2024-01-04,CE,7152100,2056039,37.8,21741.900390625,14.579999923706056,3,1.0118710694436945,1.0
2024-01-01,21400.0,2024-01-25,PE,1046700,28158,142.25,21741.900390625,14.579999923706056,24,0.9842745857315939,4.0
2024-01-01,21400.0,2024-01-04,CE,598000,15247,398.55,21741.900390625,14.579999923706056,3,0.9842745857315939,1.0
2024-01-01,21550.0,2024-01-18,PE,6800,202,153.35,21741.900390625,14.579999923706056,17,0.991173706659619,3.0
2024-01-01,22400.0,2024-01-25,PE,38950,508,603.4,21741.900390625,14.579999923706056,24,1.0302687252517617,4.0
2024-01-01,22400.0,2024-01-04,CE,6169000,896685,3.2,21741.900390625,14.579999923706056,3,1.0302687252517617,1.0
2024-01-01,22200.0,2024-01-11,CE,348950,41587,55.85,21741.900390625,14.579999923706056,10,1.0210698973477281,2.0
2024-01-01,21550.0,2024-01-11,CE,10900,473,383.0,21741.900390625,14.579999923706056,10,0.991173706659619,2.0
2024-01-01,21650.0,2024-01-18,CE,4300,124,366.25,21741.900390625,14.579999923706056,17,0.9957731206116358,3.0
2024-01-01,20750.0,2024-01-25,PE,86700,2958,44.75,21741.900390625,14.579999923706056,24,0.9543783950434847,4.0
2024-01-01,22650.0,2024-01-18,CE,2550,284,37.25,21741.900390625,14.579999923706056,17,1.0417672601318038,3.0
2024-01-01,22650.0,2024-01-25,PE,8250,10,808.15,21741.900390625,14.579999923706056,24,1.0417672601318038,4.0
2024-01-01,22000.0,2024-01-25,PE,1473000,39541,356.45,21741.900390625,14.579999923706056,24,1.0118710694436945,4.0
2024-01-01,22000.0,2024-01-11,PE,222950,13711,268.5,21741.900390625,14.579999923706056,10,1.0118710694436945,2.0
2024-01-01,21450.0,2024-01-04,CE,64450,5763,358.35,21741.900390625,14.579999923706056,3,0.9865742927076022,1.0
2024-01-01,22700.0,2024-01-11,PE,0,0,919.75,21741.900390625,14.579999923706056,10,1.0440669671078122,2.0
2024-01-01,22700.0,2024-01-18,PE,0,0,903.9,21741.900390625,14.579999923706056,17,1.0440669671078122,3.0
2024-01-01,21750.0,2024-01-04,PE,2577150,2076326,82.15,21741.900390625,14.579999923706056,3,1.0003725345636527,1.0
2024-01-01,21700.0,2024-01-04,CE,4116000,2455104,162.65,21741.900390625,14.579999923706056,3,0.9980728275876443,1.0
2024-01-01,21700.0,2024-01-25,PE,1379250,62544,230.9,21741.900390625,14.579999923706056,24,0.9980728275876443,4.0
2024-01-01,21850.0,2024-01-25,PE,51850,4755,283.15,21741.900390625,14.579999923706056,24,1.0049719485156694,4.0
2024-01-01,21850.0,2024-01-18,PE,4000,231,238.35,21741.900390625,14.579999923706056,17,1.0049719485156694,3.0
2024-01-01,21850.0,2024-01-25,CE,61000,5431,346.75,21741.900390625,14.579999923706056,24,1.0049719485156694,4.0
2024-01-01,21450.0,2024-01-11,CE,11900,311,452.4,21741.900390625,14.579999923706056,10,0.9865742927076022,2.0
2024-01-01,21450.0,2024-01-18,CE,2100,5,504.0,21741.900390625,14.579999923706056,17,0.9865742927076022,3.0
2024-01-01,21450.0,2024-01-25,PE,88200,2073,152.05,21741.900390625,14.579999923706056,24,0.9865742927076022,4.0
2024-01-01,22700.0,2024-01-04,PE,850,4,914.95,21741.900390625,14.579999923706056,3,1.0440669671078122,1.0
2024-01-01,22000.0,2024-01-25,CE,2666400,67995,262.8,21741.900390625,14.579999923706056,24,1.0118710694436945,4.0
