Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-16,23000.0,2024-12-26,PE,102750,390,1137.25
2024-01-16,23000.0,2024-02-15,CE,6850,174,69.95
2024-01-16,23000.0,2024-02-08,PE,0,0,903.75
2024-01-16,21150.0,2024-03-28,PE,2900,0,96.65
2024-01-16,21150.0,2024-02-15,CE,0,0,1031.6
2024-01-16,21150.0,2024-02-01,PE,12000,138,36.8
2024-01-16,21150.0,2024-02-29,PE,14250,112,93.6
2024-01-16,21150.0,2024-02-08,CE,0,0,992.55
2024-01-16,20300.0,2024-02-15,CE,0,0,1846.1
2024-01-16,20300.0,2024-01-18,CE,700,0,1739.8
2024-01-16,20300.0,2024-01-25,CE,49250,80,1740.0
2024-01-16,20300.0,2024-02-15,PE,0,0,1.45
2024-01-16,20300.0,2024-02-29,CE,4050,34,1898.0
2024-01-16,18800.0,2024-01-25,CE,4150,0,3263.55
2024-01-16,18600.0,2024-01-25,PE,77050,138,2.1
2024-01-16,18750.0,2024-01-25,CE,550,1,3313.5
2024-01-16,18000.0,2027-12-30,CE,0,0,8293.2
2024-01-16,21200.0,2024-02-15,PE,0,0,37.3
2024-01-16,21200.0,2024-02-15,CE,0,0,986.9
2024-01-16,21200.0,2024-03-28,CE,2450,8,1271.9
2024-01-16,21200.0,2024-01-25,CE,320050,502,847.1
2024-01-16,21200.0,2024-02-01,CE,1500,1,907.0
2024-01-16,21200.0,2024-02-29,PE,288950,5129,100.25
2024-01-16,21200.0,2024-01-18,PE,4505250,532811,3.2
2024-01-16,20450.0,2024-02-08,PE,0,0,1.05
2024-01-16,21600.0,2024-01-25,PE,2183600,59696,51.25
2024-01-16,18550.0,2024-01-25,CE,0,0,3513.15
2024-01-16,20350.0,2024-02-08,PE,0,0,0.6
2024-01-16,22650.0,2024-01-18,PE,150,0,609.4
2024-01-16,22650.0,2024-02-29,CE,13400,91,204.35
2024-01-16,22650.0,2024-02-15,CE,0,0,124.6
2024-01-16,22650.0,2024-02-08,CE,4050,168,105.5
2024-01-16,27000.0,2025-12-24,CE,0,0,857.8
2024-01-16,27000.0,2027-06-24,PE,0,0,1658.35
2024-01-16,27000.0,2026-12-31,PE,0,0,1883.5
2024-01-16,27000.0,2026-06-25,PE,0,0,2172.5
2024-01-16,21550.0,2024-03-28,PE,2200,7,255.0
2024-01-16,19350.0,2024-01-25,CE,10000,1,2714.5
2024-01-16,20700.0,2024-01-25,PE,761500,12340,6.45
2024-01-16,20250.0,2024-02-08,PE,0,0,0.35
2024-01-16,20250.0,2024-03-28,PE,100,0,16.05
2024-01-16,20250.0,2024-02-15,PE,0,0,1.2
2024-01-16,20250.0,2024-01-18,PE,150900,8219,1.4
2024-01-16,20250.0,2024-01-25,CE,17300,0,1816.0
2024-01-16,20250.0,2024-02-29,CE,200,1,1950.95
